contestant,season,wins,bottoms,finale_appearnces,championships,dob,state
Symone,S13,6,2,1,1,1995-01-15,Arkansas
Bianca Del Rio,S06,5,0,1,1,1975-06-27,Louisiana
Bob the Drag Queen,S08,5,1,1,1,1986-06-22,New York
Sharon Needles,S04,5,1,1,1,1981-11-28,Pennsylvania
Violet Chachki,S07,5,0,1,1,1992-06-13,Georgia
Adore Delano,S06,4,2,1,0,1989-09-29,California
Aquaria,S10,4,0,1,1,1996-02-12,New York
Gigi Goode,S12,4,0,1,0,1997-12-02,California
Ginger Minj,S07,4,2,1,0,1984-09-11,Florida
Jaida Essence Hall,S12,4,1,1,1,1986-12-09,Wisconsin
Raja,S03,4,1,1,1,1974-06-14,California
Shea Couleé,S09,4,1,1,0,1989-02-08,Illinois
Tyra Sanchez,S02,4,0,1,1,1988-04-22,Florida
Alexis Mateo,S03,3,4,1,0,1979-07-24,Florida
BeBe Zahara Benet,S01,3,1,1,1,1981-03-20,Minnesota
Bosco,S14,3,1,1,0,1993-06-11,Washington
Brooke Lynn Hytes,S11,3,2,1,0,1986-03-10,"Ontario, Canada"
Courtney Act,S06,3,0,1,0,1982-02-18,California
Gottmik,S13,3,0,1,0,1996-08-19,Arizona
Jinkx Monsoon,S05,3,1,1,1,1987-09-18,Washington
Kim Chi,S08,3,0,1,0,1987-08-08,Illinois
Lady Camden,S14,3,1,1,0,1990-08-09,California
Manila Luzon,S03,3,1,1,0,1981-08-10,Minnesota
Olivia Lux,S13,3,2,0,0,1994-03-14,New York
Pearl,S07,3,2,1,0,1990-09-11,New York
Rosé,S13,3,0,1,0,1989-05-26,New York
Sasha Velour,S09,3,0,1,1,1987-06-25,New York
Trinity Taylor,S09,3,1,1,0,1984-12-10,Florida
A'Keria C. Davenport,S11,2,2,1,0,1988-03-01,Texas
Alaska,S05,2,0,1,0,1985-03-06,Pennsylvania
Angeria Paris VanMicheals,S14,2,2,1,0,1993-07-25,Georgia
Asia O'Hara,S10,2,1,1,0,1982-07-07,Texas
BenDeLaCreme,S06,2,2,0,0,1982-09-24,Washington
Chad Michaels,S04,2,1,1,0,1971-03-20,California
Eureka O'Hara,S09|S10,2,2,1,0,1990-08-26,Tennessee
Kandy Muse,S13,2,3,1,0,1994-11-03,New York
Katya,S07,2,2,0,0,1982-05-01,Massachusetts
Kennedy Davenport,S07,2,3,0,0,1982-09-09,Texas
Latrice Royale,S04,2,3,0,0,1972-02-12,Florida
Max,S07,2,1,0,0,1992-06-24,Wisconsin
Naomi Smalls,S08,2,1,1,0,1993-09-08,California
Nina West,S11,2,1,1,0,1979-08-04,Ohio
Ongina,S01,2,1,0,0,1982-01-06,California
Phi Phi O'Hara,S04,2,1,1,0,1985-10-10,Illinois
Raven,S02,2,2,1,0,1979-04-08,California
Roxxxy Andrews,S05,2,1,1,0,1983-09-23,Florida
Shangela,S02|S03,2,4,0,0,1981-11-22,Texas
Sherry Pie,S12,2,0,0,0,1991-11-14,New York
Silky Nutmeg Ganache,S11,2,1,1,0,1990-12-30,Mississippi
Willam,S04,2,1,0,0,1982-06-30,California
Yvie Oddly,S11,2,1,1,1,1993-08-22,Colorado
Alexis Michelle,S09,1,2,0,0,1984-10-16,New York
Alyssa Edwards,S05,1,3,0,0,1980-01-16,Texas
Chi Chi DeVayne,S08,1,3,0,0,1985-09-24,Louisiana
Coco Montrese,S05,1,4,0,0,1974-07-02,Nevada
Crystal Methyd,S12,1,1,1,0,1991-04-16,Missouri
Darienne Lake,S06,1,4,0,0,1971-11-27,New York
Daya Betty,S14,1,3,1,0,1996-02-19,Missouri
DeJa Skye,S14,1,2,1,0,1990-04-22,California
Denali,S13,1,2,0,0,1992-04-01,Illinois
Derrick Barry,S08,1,2,0,0,1983-07-18,Nevada
Detox,S05,1,3,0,0,1985-06-03,California
Heidi N Closet,S12,1,4,0,0,1984-09-29,North Carolina
Ivy Winters,S05,1,1,0,0,1986-10-05,New York
Jessica Wild,S02,1,1,0,0,1980-06-10,Puerto Rico
Jorgeous,S14,1,5,1,0,1999-11-27,Tennessee
Kameron Michaels,S10,1,3,1,0,1986-07-23,Tennessee
Kornbread (The Snack) Jete,S14,1,0,0,0,1992-01-14,California
LaLa Ri,S13,1,2,0,0,1990-08-28,Georgia
Laganja Estranja,S06,1,2,0,0,1988-12-28,California
Lineysha Sparx,S05,1,1,0,0,1988-07-08,Puerto Rico
Madame LaQueer,S04,1,1,0,0,1982-10-05,Puerto Rico
Mayhem Miller,S10,1,2,0,0,1982-02-09,California
Miz Cracker,S10,1,1,0,0,1984-04-19,New York
Morgan McMichaels,S02,1,2,0,0,1981-05-28,California
Nina Bo'nina Brown,S09,1,3,0,0,1982-07-12,Georgia
Nina Flowers,S01,1,0,1,0,1974-02-22,Puerto Rico
Peppermint,S09,1,2,1,0,1980-01-31,New York
Plastique Tiara,S11,1,2,1,0,1997-04-11,Texas
Rebecca Glasscock,S01,1,3,1,0,1983-05-25,Florida
Robbie Turner,S08,1,2,0,0,1982-07-27,Washington
Sahara Davenport,S02,1,3,0,0,1984-12-17,New York
Scarlet Envy,S11,1,2,1,0,1992-02-26,Kentucky
Stacy Layne Matthews,S03,1,2,0,0,1984-07-19,North Carolina
Tatianna,S02,1,2,0,0,1988-12-01,Virginia
The Vixen,S10,1,3,0,0,1990-12-11,Illinois
Tina Burner,S13,1,1,0,0,1980-11-10,New York
Utica Queen,S13,1,3,0,0,1995-06-02,Minnesota
Valentina,S09,1,1,0,0,1991-05-14,California
Widow Von'Du,S12,1,2,0,0,1989-04-17,Missouri
Willow Pill,S14,1,2,1,0,1995-01-22,Colorado
Yara Sofia,S03,1,2,0,0,1984-05-08,Puerto Rico
Acid Betty,S08,0,1,0,0,1977-12-10,New York
Aiden Zhane,S12,0,1,0,0,1990-07-16,Georgia
Aja,S09,0,2,0,0,1994-01-04,New York
Akashia,S01,0,3,0,0,1985-02-19,Ohio
Alisa Summers,S04,0,1,0,0,1988-06-15,Florida
Alyssa Hunter,S14,0,1,0,0,1995-02-19,Puerto Rico
